"month","day","year","deaths","date"
"1",1,1,2015,107,2015-01-01
"2",1,2,2015,101,2015-01-02
"3",1,3,2015,78,2015-01-03
"4",1,4,2015,121,2015-01-04
"5",1,5,2015,99,2015-01-05
"6",1,6,2015,104,2015-01-06
"7",1,7,2015,79,2015-01-07
"8",1,8,2015,73,2015-01-08
"9",1,9,2015,90,2015-01-09
"10",1,10,2015,75,2015-01-10
"11",1,11,2015,88,2015-01-11
"12",1,12,2015,85,2015-01-12
"13",1,13,2015,74,2015-01-13
"14",1,14,2015,98,2015-01-14
"15",1,15,2015,88,2015-01-15
"16",1,16,2015,111,2015-01-16
"17",1,17,2015,92,2015-01-17
"18",1,18,2015,90,2015-01-18
"19",1,19,2015,101,2015-01-19
"20",1,20,2015,98,2015-01-20
"21",1,21,2015,105,2015-01-21
"22",1,22,2015,71,2015-01-22
"23",1,23,2015,82,2015-01-23
"24",1,24,2015,84,2015-01-24
"25",1,25,2015,83,2015-01-25
"26",1,26,2015,83,2015-01-26
"27",1,27,2015,73,2015-01-27
"28",1,28,2015,87,2015-01-28
"29",1,29,2015,73,2015-01-29
"30",1,30,2015,78,2015-01-30
"31",1,31,2015,73,2015-01-31
"32",2,1,2015,66,2015-02-01
"33",2,2,2015,114,2015-02-02
"34",2,3,2015,95,2015-02-03
"35",2,4,2015,87,2015-02-04
"36",2,5,2015,84,2015-02-05
"37",2,6,2015,93,2015-02-06
"38",2,7,2015,79,2015-02-07
"39",2,8,2015,94,2015-02-08
"40",2,9,2015,80,2015-02-09
"41",2,10,2015,77,2015-02-10
"42",2,11,2015,109,2015-02-11
"43",2,12,2015,93,2015-02-12
"44",2,13,2015,86,2015-02-13
"45",2,14,2015,67,2015-02-14
"46",2,15,2015,79,2015-02-15
"47",2,16,2015,101,2015-02-16
"48",2,17,2015,81,2015-02-17
"49",2,18,2015,75,2015-02-18
"50",2,19,2015,94,2015-02-19
"51",2,20,2015,79,2015-02-20
"52",2,21,2015,71,2015-02-21
"53",2,22,2015,90,2015-02-22
"54",2,23,2015,85,2015-02-23
"55",2,24,2015,95,2015-02-24
"56",2,25,2015,93,2015-02-25
"57",2,26,2015,77,2015-02-26
"58",2,27,2015,66,2015-02-27
"59",2,28,2015,93,2015-02-28
"60",3,1,2015,82,2015-03-01
"61",3,2,2015,92,2015-03-02
"62",3,3,2015,95,2015-03-03
"63",3,4,2015,77,2015-03-04
"64",3,5,2015,75,2015-03-05
"65",3,6,2015,90,2015-03-06
"66",3,7,2015,76,2015-03-07
"67",3,8,2015,80,2015-03-08
"68",3,9,2015,68,2015-03-09
"69",3,10,2015,80,2015-03-10
"70",3,11,2015,79,2015-03-11
"71",3,12,2015,72,2015-03-12
"72",3,13,2015,80,2015-03-13
"73",3,14,2015,67,2015-03-14
"74",3,15,2015,71,2015-03-15
"75",3,16,2015,89,2015-03-16
"76",3,17,2015,75,2015-03-17
"77",3,18,2015,82,2015-03-18
"78",3,19,2015,92,2015-03-19
"79",3,20,2015,76,2015-03-20
"80",3,21,2015,81,2015-03-21
"81",3,22,2015,62,2015-03-22
"82",3,23,2015,79,2015-03-23
"83",3,24,2015,64,2015-03-24
"84",3,25,2015,75,2015-03-25
"85",3,26,2015,77,2015-03-26
"86",3,27,2015,73,2015-03-27
"87",3,28,2015,76,2015-03-28
"88",3,29,2015,86,2015-03-29
"89",3,30,2015,94,2015-03-30
"90",3,31,2015,62,2015-03-31
"91",4,1,2015,70,2015-04-01
"92",4,2,2015,85,2015-04-02
"93",4,3,2015,80,2015-04-03
"94",4,4,2015,88,2015-04-04
"95",4,5,2015,84,2015-04-05
"96",4,6,2015,82,2015-04-06
"97",4,7,2015,66,2015-04-07
"98",4,8,2015,57,2015-04-08
"99",4,9,2015,73,2015-04-09
"100",4,10,2015,66,2015-04-10
"101",4,11,2015,80,2015-04-11
"102",4,12,2015,93,2015-04-12
"103",4,13,2015,74,2015-04-13
"104",4,14,2015,71,2015-04-14
"105",4,15,2015,86,2015-04-15
"106",4,16,2015,79,2015-04-16
"107",4,17,2015,74,2015-04-17
"108",4,18,2015,71,2015-04-18
"109",4,19,2015,74,2015-04-19
"110",4,20,2015,66,2015-04-20
"111",4,21,2015,73,2015-04-21
"112",4,22,2015,71,2015-04-22
"113",4,23,2015,70,2015-04-23
"114",4,24,2015,67,2015-04-24
"115",4,25,2015,80,2015-04-25
"116",4,26,2015,72,2015-04-26
"117",4,27,2015,69,2015-04-27
"118",4,28,2015,87,2015-04-28
"119",4,29,2015,67,2015-04-29
"120",4,30,2015,84,2015-04-30
"121",5,1,2015,66,2015-05-01
"122",5,2,2015,87,2015-05-02
"123",5,3,2015,77,2015-05-03
"124",5,4,2015,70,2015-05-04
"125",5,5,2015,81,2015-05-05
"126",5,6,2015,89,2015-05-06
"127",5,7,2015,82,2015-05-07
"128",5,8,2015,79,2015-05-08
"129",5,9,2015,85,2015-05-09
"130",5,10,2015,84,2015-05-10
"131",5,11,2015,78,2015-05-11
"132",5,12,2015,64,2015-05-12
"133",5,13,2015,66,2015-05-13
"134",5,14,2015,74,2015-05-14
"135",5,15,2015,81,2015-05-15
"136",5,16,2015,71,2015-05-16
"137",5,17,2015,78,2015-05-17
"138",5,18,2015,70,2015-05-18
"139",5,19,2015,71,2015-05-19
"140",5,20,2015,78,2015-05-20
"141",5,21,2015,88,2015-05-21
"142",5,22,2015,64,2015-05-22
"143",5,23,2015,65,2015-05-23
"144",5,24,2015,87,2015-05-24
"145",5,25,2015,57,2015-05-25
"146",5,26,2015,90,2015-05-26
"147",5,27,2015,65,2015-05-27
"148",5,28,2015,64,2015-05-28
"149",5,29,2015,79,2015-05-29
"150",5,30,2015,66,2015-05-30
"151",5,31,2015,84,2015-05-31
"152",6,1,2015,68,2015-06-01
"153",6,2,2015,76,2015-06-02
"154",6,3,2015,62,2015-06-03
"155",6,4,2015,65,2015-06-04
"156",6,5,2015,82,2015-06-05
"157",6,6,2015,79,2015-06-06
"158",6,7,2015,59,2015-06-07
"159",6,8,2015,65,2015-06-08
"160",6,9,2015,66,2015-06-09
"161",6,10,2015,80,2015-06-10
"162",6,11,2015,58,2015-06-11
"163",6,12,2015,74,2015-06-12
"164",6,13,2015,76,2015-06-13
"165",6,14,2015,61,2015-06-14
"166",6,15,2015,78,2015-06-15
"167",6,16,2015,69,2015-06-16
"168",6,17,2015,87,2015-06-17
"169",6,18,2015,71,2015-06-18
"170",6,19,2015,81,2015-06-19
"171",6,20,2015,65,2015-06-20
"172",6,21,2015,79,2015-06-21
"173",6,22,2015,82,2015-06-22
"174",6,23,2015,73,2015-06-23
"175",6,24,2015,81,2015-06-24
"176",6,25,2015,66,2015-06-25
"177",6,26,2015,84,2015-06-26
"178",6,27,2015,69,2015-06-27
"179",6,28,2015,64,2015-06-28
"180",6,29,2015,61,2015-06-29
"181",6,30,2015,64,2015-06-30
"182",7,1,2015,71,2015-07-01
"183",7,2,2015,67,2015-07-02
"184",7,3,2015,85,2015-07-03
"185",7,4,2015,94,2015-07-04
"186",7,5,2015,63,2015-07-05
"187",7,6,2015,77,2015-07-06
"188",7,7,2015,80,2015-07-07
"189",7,8,2015,83,2015-07-08
"190",7,9,2015,82,2015-07-09
"191",7,10,2015,71,2015-07-10
"192",7,11,2015,75,2015-07-11
"193",7,12,2015,68,2015-07-12
"194",7,13,2015,87,2015-07-13
"195",7,14,2015,80,2015-07-14
"196",7,15,2015,82,2015-07-15
"197",7,16,2015,63,2015-07-16
"198",7,17,2015,79,2015-07-17
"199",7,18,2015,87,2015-07-18
"200",7,19,2015,75,2015-07-19
"201",7,20,2015,102,2015-07-20
"202",7,21,2015,76,2015-07-21
"203",7,22,2015,72,2015-07-22
"204",7,23,2015,79,2015-07-23
"205",7,24,2015,74,2015-07-24
"206",7,25,2015,70,2015-07-25
"207",7,26,2015,74,2015-07-26
"208",7,27,2015,75,2015-07-27
"209",7,28,2015,71,2015-07-28
"210",7,29,2015,68,2015-07-29
"211",7,30,2015,80,2015-07-30
"212",7,31,2015,72,2015-07-31
"213",8,1,2015,69,2015-08-01
"214",8,2,2015,72,2015-08-02
"215",8,3,2015,74,2015-08-03
"216",8,4,2015,92,2015-08-04
"217",8,5,2015,81,2015-08-05
"218",8,6,2015,83,2015-08-06
"219",8,7,2015,81,2015-08-07
"220",8,8,2015,89,2015-08-08
"221",8,9,2015,77,2015-08-09
"222",8,10,2015,74,2015-08-10
"223",8,11,2015,63,2015-08-11
"224",8,12,2015,87,2015-08-12
"225",8,13,2015,83,2015-08-13
"226",8,14,2015,72,2015-08-14
"227",8,15,2015,88,2015-08-15
"228",8,16,2015,58,2015-08-16
"229",8,17,2015,79,2015-08-17
"230",8,18,2015,71,2015-08-18
"231",8,19,2015,90,2015-08-19
"232",8,20,2015,77,2015-08-20
"233",8,21,2015,81,2015-08-21
"234",8,22,2015,75,2015-08-22
"235",8,23,2015,85,2015-08-23
"236",8,24,2015,100,2015-08-24
"237",8,25,2015,79,2015-08-25
"238",8,26,2015,73,2015-08-26
"239",8,27,2015,70,2015-08-27
"240",8,28,2015,73,2015-08-28
"241",8,29,2015,80,2015-08-29
"242",8,30,2015,78,2015-08-30
"243",8,31,2015,73,2015-08-31
"244",9,1,2015,75,2015-09-01
"245",9,2,2015,77,2015-09-02
"246",9,3,2015,67,2015-09-03
"247",9,4,2015,71,2015-09-04
"248",9,5,2015,62,2015-09-05
"249",9,6,2015,77,2015-09-06
"250",9,7,2015,85,2015-09-07
"251",9,8,2015,84,2015-09-08
"252",9,9,2015,79,2015-09-09
"253",9,10,2015,66,2015-09-10
"254",9,11,2015,92,2015-09-11
"255",9,12,2015,79,2015-09-12
"256",9,13,2015,81,2015-09-13
"257",9,14,2015,70,2015-09-14
"258",9,15,2015,87,2015-09-15
"259",9,16,2015,70,2015-09-16
"260",9,17,2015,70,2015-09-17
"261",9,18,2015,76,2015-09-18
"262",9,19,2015,81,2015-09-19
"263",9,20,2015,69,2015-09-20
"264",9,21,2015,70,2015-09-21
"265",9,22,2015,68,2015-09-22
"266",9,23,2015,70,2015-09-23
"267",9,24,2015,78,2015-09-24
"268",9,25,2015,60,2015-09-25
"269",9,26,2015,76,2015-09-26
"270",9,27,2015,78,2015-09-27
"271",9,28,2015,84,2015-09-28
"272",9,29,2015,83,2015-09-29
"273",9,30,2015,73,2015-09-30
